FMID,street,city,County,State,zip,x,y
1003559,70 Merrimon Avenue,Asheville,Buncombe,North Carolina,28801,-82.5542,35.6024
1003561,"U. S. Hwy. 27, Callaway Gardens Beach Gate",Pine Mountain,Harris,Georgia,31822,-84.846618,32.847217
1003562,3000 E. Ray Road (Higley & Ray),Gilbert,Maricopa,Arizona,85233,-111.726215,33.321658
1003563,186 Recreation Road,Dawsonville,Dawson,Georgia,30534,-84.099043,34.437795
1003564,South Avenue,Wilkinsburg,Allegheny,Pennsylvania,15221,-79.8954,40.4489
1003565,E 87th Pl at S Langley Ave,Chicago,0,Illinois,60619,-87.6014,41.7358
1003568,Third and Broadway,Estacada,Clackamas,Oregon,97023,-122.335,45.2879
1003571,N. Arlington Heights Rd. at E. Eastman St.,Arlington,Cook,Illinois,60004,-87.9808,42.086
1003574,Corner of Appleton & Main Streets,Waterville,Kennebec,Maine,4901,-69.631,44.5512
1003575,Block of East Main St.,Ashdown,Little River,Arkansas,71822,-94.131,33.6747
1003576,Intersection of E. Corral Avenue & Soldotna,Soldotna,Kenai Peninsula,Alaska,99669,-151.068,60.4928
1003582,100 South Choctaw Ave.,El Reno,Canadian,Oklahoma,73036,-97.9549,35.5331
1003585,Kennedy Blvd. at Journal Square,Jersey City,Hudson,New Jersey,7306,-74.0639,40.7316
1003586,1 School St.,Castine,Hancock,Maine,4420,-68.7983,44.3903
1003588,Public Square,Batesville,Panola,Mississippi,38606,-89.952098,34.316885
1003589,Cornier of Shoppers Alley & Second Street,Davison,Genesee,Michigan,48423,-83.516,43.0317
1003592,28 State Rd.,Newaygo,Newaygo,Michigan,49337,-85.799049,43.419762
1003594,Columbia Avenue Parking Lot,Vandergrift,Westmoreland,Pennsylvania,15690,-79.5621,40.6035
1003596,7th Street by the old train depot,Chipley,Washington,Florida,32428,-85.5372,30.7791
1003599,0,Calhoun City,Calhoun,Mississippi,38916,-89.3129,33.8546
1003600,Israel Rd & Capitol Blvd,Tumwater,Thurston,Washington,98512,-122.907776,46.985164
1003601,Harpers Ferry Conservation Park,Harpers Ferry,Allamakee,Iowa,52146,-91.4756,43.2695
1003604,1400 FRONT STREET,FORT BENTON,Chouteau,Montana,59442,-110.6683537,47.8165684
1003605,Front at Oak Street,Spooner,Washburn,Wisconsin,54801,-91.887245,45.825181
1003606,170 Market Place Drive,TROY,Lincoln,Missouri,63379,-90.9720333,38.988586
1003607,801 Wheeling Avenue,Cambridge,Guernsey,Ohio,43725,-81.59,40.0248
1003608,4th & Main Street,Coon Rapids,Carroll,Iowa,50058,-94.6776,41.8658
1003609,501 Main Street,Baton Rouge,East Baton Rouge,Louisiana,70802,-91.185794,30.452022
1003610,6400 Perkins Road,Baton Rouge,East Baton Rouge,Louisiana,70808,-91.121582,30.399743
1003612,Old Hanapepe Town,Hanapepe,Kauai,Hawaii,96716,-159.588,21.9101
1003613,Elepaio Road,Kekaha,Kauai,Hawaii,96752,-159.718,21.9704
1003614,Kahau Road,Kapaa,Kauai,Hawaii,96746,-159.321,22.0764
1003615,Hoolako Road,Lihue,Kauai,Hawaii,96766,-159.355,21.9728
1003617,109 E. Garriott Road,Enid,Garfield,Oklahoma,73703,-97.8774,36.4343
1003625,1715 Garden Village Drive,White Pine,Jefferson,Tennessee,37890,-83.2927,36.1314
1003627,Downtown Riverbank,Natchitoches,Natchitoches,Louisiana,71457,-93.086021,31.760976
1003628,3233 Alpine,Dexter,Washtenaw,Michigan,48130,-83.889499,42.339166
1003629,South Bown Way,Boise,Ada,Idaho,83706,-116.1549,43.57426
1003632,1961 Burlington Pike,Burlington,Boone,Kentucky,41005,-84.699311,39.020084
1003633,8th & F St.,Cozad,Dawson,Nebraska,69130,-99.9859,40.8595
1003634,McGraw Street,Ripley,Jackson,West Virginia,25271,-81.723175,38.820668
1003635,400 River Drive,Wausau,Marathon,Wisconsin,54411,-89.63,44.9549
1003638,201 Main Street,Gordo,Pickens,Alabama,35466,-87.9028,33.3185
1003640,1001 Osage Street,Denver,Denver,Colorado,80204,-105.006,39.7328
1003642,Highway 82,Crossett,Ashley,Arkansas,71635,-91.9664,33.1353
1003643,"300 block of State Street, 400 block of East Grand Avenue, Gantry parking lot",Beloit,Rock,Wisconsin,53511,-89.035555,42.499698
1003644,1020 Marina Bay Drive,Clear Lake Shores,Galveston,Texas,77565,-95.03278,29.54096
1003645,2nd Street and Hwy 37,Tuttle,Grady,Oklahoma,73089,-97.8147,35.2908
1003646,300 Lewis Avenue N,Watertown,Carver,Minnesota,55388,-93.843498,44.967094
1003647,6101 GRELOT RD,MOBILE,MOBILE,Alabama,36609,-88.186,30.661
1003648,Bridge Street and Park,Fonda,Montgomery,New York,12068,-74.3697,42.9556
1003649,Main Street,fonda,Montgomery,New York,12068,-74.3774,42.9545
1003650,Highway 231 & Center Avenue,Curtis,Frontier,Nebraska,69025,-100.515,40.6311
1003655,1400 Mississippi Blvd,Memphis,Shelby,Tennessee,38106,-90.03382,35.10873
1003660,Harbor Springs High School,Harbor Springs,Emmet,Michigan,49740,-84.989643,45.429507
1003661,12th Street,Astoria,Clatsop,Oregon,97103,-123.8302951,46.185509
1003662,"Wiswall Park, Front & Low Streets",Ballston Spa,Saratoga,New York,12020,-73.84984,43.002364
1003663,468 Main Street,Hyannis,Barnstable,Massachusetts,2601,-70.287051,41.651431
